TERT I8 TSS	0,09	9
PTBP1 I13 TSS	-0,02	10
AASS I3 TSS	0,26	1
TELO2 I6 TSS	0,02	10
RAD52 I2 TSS	0,1	9
CCNK I3 TSS	0,22	5
