comparison	N	Pearson_R	R2	p_value	p_adj_BH
SC35 distance vs SON intron logFC	19	-0.867338480226222	0.752276039281132	1.52621483735552e-06	2.28932225603328e-06
SC35 distance vs SON exon logFC	19	-0.756259210321977	0.571927993196821	0.000179367675931788	0.000179367675931788
SC35 distance vs SON total logFC	19	-0.89562021571826	0.802135570803223	2.19710228132991e-07	6.59130684398974e-07
