pattern,match_name,pattern_name,cam_side,num_seqlets,qval,qval_log
pos_patterns.pattern_2,PCBP2,pos,right,41,0.029617,1.5284589346544486
pos_patterns.pattern_3,EWSR1,pos,right,32,0.306266,0.5139012135492089
pos_patterns.pattern_4,SRSF1,pos,right,27,0.088737,1.051895257898811
pos_patterns.pattern_5,GRSF1,pos,right,25,0.451393,0.3454451800498943
pos_patterns.pattern_6,ARGLU1,pos,right,23,0.075989,1.119249270680466
neg_patterns.pattern_0,PABPC1L2A,neg,right,112,0.018376,1.7357490178130304
neg_patterns.pattern_1,ELAVL2,neg,right,111,0.084909,1.0710462739117659
neg_patterns.pattern_2,SRSF10,neg,right,92,0.7103,0.1485581853279449
neg_patterns.pattern_3,ELAVL1,neg,right,61,0.049988,1.3011342388493206
neg_patterns.pattern_4,SRSF10,neg,right,58,0.281422,0.5506419548574413
neg_patterns.pattern_5,RBM10,neg,right,57,0.384468,0.41513980151081886
neg_patterns.pattern_6,SRSF1,neg,right,56,0.215007,0.6675474004942318
neg_patterns.pattern_7,ELAVL2,neg,right,43,0.162742,0.7885003510930992
neg_patterns.pattern_8,PUF60,neg,right,32,0.33465,0.47540917066048105
neg_patterns.pattern_9,CPEB4,neg,right,30,0.031017,1.5084002099541312
neg_patterns.pattern_10,ZNF638,neg,right,24,0.225294,0.6472503741953406
