model,fold,metrics,AU
ir_revised,1,ROC,0.8630498184071091
ir_revised,2,ROC,0.8562383387604902
ir_revised,3,ROC,0.8621083098687183
ir_revised,4,ROC,0.8644440981488334
ir_revised,5,ROC,0.853523111758719
ir_revised,1,PRC,0.8274762041843817
ir_revised,2,PRC,0.8182835494150601
ir_revised,3,PRC,0.8191705493227678
ir_revised,4,PRC,0.8256391129217604
ir_revised,5,PRC,0.8119750074279062
