model,fold,tpr,fpr
ir_revised,1,0.0,0.0
ir_revised,1,0.000700770847932726,0.0
ir_revised,1,0.06166783461807989,0.0
ir_revised,1,0.06166783461807989,0.0004636068613815484
ir_revised,1,0.11212333566923616,0.0004636068613815484
ir_revised,1,0.11212333566923616,0.0009272137227630969
ir_revised,1,0.11772950245269796,0.0009272137227630969
ir_revised,1,0.11772950245269796,0.0013908205841446453
ir_revised,1,0.11843027330063069,0.0013908205841446453
ir_revised,1,0.11843027330063069,0.0018544274455261937
ir_revised,1,0.13104414856341975,0.0018544274455261937
ir_revised,1,0.13104414856341975,0.0023180343069077423
ir_revised,1,0.14155571128241065,0.0023180343069077423
ir_revised,1,0.14155571128241065,0.0027816411682892906
ir_revised,1,0.14716187806587247,0.0027816411682892906
ir_revised,1,0.14716187806587247,0.003245248029670839
ir_revised,1,0.1506657323055361,0.003245248029670839
ir_revised,1,0.1506657323055361,0.0037088548910523874
ir_revised,1,0.1590749824807288,0.0037088548910523874
ir_revised,1,0.1590749824807288,0.004172461752433936
ir_revised,1,0.16888577435178698,0.004172461752433936
ir_revised,1,0.16888577435178698,0.004636068613815485
ir_revised,1,0.18220042046250876,0.004636068613815485
ir_revised,1,0.18220042046250876,0.005563282336578581
ir_revised,1,0.19901892081289418,0.005563282336578581
ir_revised,1,0.19901892081289418,0.00602688919796013
ir_revised,1,0.20812894183601963,0.00602688919796013
ir_revised,1,0.20812894183601963,0.006490496059341678
ir_revised,1,0.21793973370707778,0.006490496059341678
ir_revised,1,0.21793973370707778,0.006954102920723227
ir_revised,1,0.22704975473020322,0.006954102920723227
ir_revised,1,0.22704975473020322,0.007417709782104775
ir_revised,1,0.2347582340574632,0.007417709782104775
ir_revised,1,0.2347582340574632,0.007881316643486324
ir_revised,1,0.25718290119131043,0.007881316643486324
ir_revised,1,0.25718290119131043,0.008344923504867872
ir_revised,1,0.2585844428871759,0.008344923504867872
ir_revised,1,0.2585844428871759,0.00880853036624942
ir_revised,1,0.27330063069376315,0.00880853036624942
ir_revised,1,0.27330063069376315,0.00927213722763097
ir_revised,1,0.28241065171688856,0.00927213722763097
ir_revised,1,0.28241065171688856,0.009735744089012517
ir_revised,1,0.2950245269796776,0.009735744089012517
ir_revised,1,0.2950245269796776,0.010199350950394067
ir_revised,1,0.3090399439383322,0.010199350950394067
ir_revised,1,0.3090399439383322,0.010662957811775614
ir_revised,1,0.31254379817799577,0.010662957811775614
ir_revised,1,0.31254379817799577,0.011590171534538712
ir_revised,1,0.3160476524176594,0.011590171534538712
ir_revised,1,0.3160476524176594,0.01205377839592026
