model,fold,precision,recall
hl_revised_50percgap,1,0.5032894736842105,1.0
hl_revised_50percgap,1,0.5037037037037037,1.0
hl_revised_50percgap,1,0.5041186161449753,1.0
hl_revised_50percgap,1,0.5045342126957956,1.0
hl_revised_50percgap,1,0.5041254125412541,0.9983660130718954
hl_revised_50percgap,1,0.5037159372419489,0.9967320261437909
hl_revised_50percgap,1,0.5041322314049587,0.9967320261437909
hl_revised_50percgap,1,0.5045492142266336,0.9967320261437909
hl_revised_50percgap,1,0.5049668874172185,0.9967320261437909
hl_revised_50percgap,1,0.5053852526926264,0.9967320261437909
hl_revised_50percgap,1,0.5058043117744611,0.9967320261437909
hl_revised_50percgap,1,0.5053941908713693,0.9950980392156863
hl_revised_50percgap,1,0.5049833887043189,0.9934640522875817
hl_revised_50percgap,1,0.5045719035743973,0.9918300653594772
hl_revised_50percgap,1,0.5041597337770383,0.9901960784313726
hl_revised_50percgap,1,0.5045795170691091,0.9901960784313726
hl_revised_50percgap,1,0.505,0.9901960784313726
hl_revised_50percgap,1,0.5045871559633027,0.988562091503268
hl_revised_50percgap,1,0.505008347245409,0.988562091503268
hl_revised_50percgap,1,0.5054302422723476,0.988562091503268
hl_revised_50percgap,1,0.5058528428093646,0.988562091503268
hl_revised_50percgap,1,0.5062761506276151,0.988562091503268
hl_revised_50percgap,1,0.5067001675041876,0.988562091503268
hl_revised_50percgap,1,0.5062866722548198,0.9869281045751634
hl_revised_50percgap,1,0.5067114093959731,0.9869281045751634
hl_revised_50percgap,1,0.5062972292191436,0.9852941176470589
hl_revised_50percgap,1,0.5058823529411764,0.9836601307189542
hl_revised_50percgap,1,0.5063078216989066,0.9836601307189542
hl_revised_50percgap,1,0.5067340067340067,0.9836601307189542
hl_revised_50percgap,1,0.5071609098567817,0.9836601307189542
hl_revised_50percgap,1,0.5067453625632378,0.9820261437908496
hl_revised_50percgap,1,0.5071729957805907,0.9820261437908496
hl_revised_50percgap,1,0.5076013513513513,0.9820261437908496
hl_revised_50percgap,1,0.5080304311073541,0.9820261437908496
hl_revised_50percgap,1,0.5084602368866328,0.9820261437908496
hl_revised_50percgap,1,0.5080440304826418,0.9803921568627451
hl_revised_50percgap,1,0.5084745762711864,0.9803921568627451
hl_revised_50percgap,1,0.5089058524173028,0.9803921568627451
hl_revised_50percgap,1,0.5093378607809848,0.9803921568627451
hl_revised_50percgap,1,0.5097706032285472,0.9803921568627451
hl_revised_50percgap,1,0.5093537414965986,0.9787581699346405
hl_revised_50percgap,1,0.5089361702127659,0.9771241830065359
hl_revised_50percgap,1,0.5093696763202725,0.9771241830065359
hl_revised_50percgap,1,0.5089514066496164,0.9754901960784313
hl_revised_50percgap,1,0.5085324232081911,0.9738562091503268
hl_revised_50percgap,1,0.5081127241673783,0.9722222222222222
hl_revised_50percgap,1,0.5085470085470085,0.9722222222222222
hl_revised_50percgap,1,0.5089820359281437,0.9722222222222222
hl_revised_50percgap,1,0.509417808219178,0.9722222222222222
hl_revised_50percgap,1,0.5098543273350471,0.9722222222222222
hl_revised_50percgap,1,0.5102915951972555,0.9722222222222222
hl_revised_50percgap,1,0.5107296137339056,0.9722222222222222
hl_revised_50percgap,1,0.511168384879725,0.9722222222222222
hl_revised_50percgap,1,0.5116079105760963,0.9722222222222222
hl_revised_50percgap,1,0.5111876075731497,0.9705882352941176
hl_revised_50percgap,1,0.5107665805340224,0.9689542483660131
hl_revised_50percgap,1,0.5112068965517241,0.9689542483660131
hl_revised_50percgap,1,0.5116479723899914,0.9689542483660131
hl_revised_50percgap,1,0.5120898100172712,0.9689542483660131
hl_revised_50percgap,1,0.5125324114088159,0.9689542483660131
hl_revised_50percgap,1,0.5129757785467128,0.9689542483660131
hl_revised_50percgap,1,0.5134199134199134,0.9689542483660131
hl_revised_50percgap,1,0.5138648180242634,0.9689542483660131
hl_revised_50percgap,1,0.5143104943625325,0.9689542483660131
hl_revised_50percgap,1,0.5147569444444444,0.9689542483660131
hl_revised_50percgap,1,0.5152041702867072,0.9689542483660131
hl_revised_50percgap,1,0.5156521739130435,0.9689542483660131
hl_revised_50percgap,1,0.516100957354221,0.9689542483660131
hl_revised_50percgap,1,0.5156794425087108,0.9673202614379085
hl_revised_50percgap,1,0.5161290322580645,0.9673202614379085
hl_revised_50percgap,1,0.5165794066317626,0.9673202614379085
hl_revised_50percgap,1,0.5170305676855895,0.9673202614379085
hl_revised_50percgap,1,0.5174825174825175,0.9673202614379085
hl_revised_50percgap,1,0.5179352580927384,0.9673202614379085
hl_revised_50percgap,1,0.5175131348511384,0.9656862745098039
hl_revised_50percgap,1,0.5179666958808063,0.9656862745098039
hl_revised_50percgap,1,0.5184210526315789,0.9656862745098039
hl_revised_50percgap,1,0.5188762071992976,0.9656862745098039
hl_revised_50percgap,1,0.5184534270650264,0.9640522875816994
hl_revised_50percgap,1,0.5189094107299912,0.9640522875816994
hl_revised_50percgap,1,0.5193661971830986,0.9640522875816994
hl_revised_50percgap,1,0.518942731277533,0.9624183006535948
hl_revised_50percgap,1,0.5185185185185185,0.9607843137254902
hl_revised_50percgap,1,0.5189761694616064,0.9607843137254902
hl_revised_50percgap,1,0.519434628975265,0.9607843137254902
hl_revised_50percgap,1,0.5190097259062776,0.9591503267973857
hl_revised_50percgap,1,0.5194690265486726,0.9591503267973857
hl_revised_50percgap,1,0.5199291408325952,0.9591503267973857
hl_revised_50percgap,1,0.5195035460992907,0.9575163398692811
hl_revised_50percgap,1,0.5199645075421473,0.9575163398692811
hl_revised_50percgap,1,0.5195381882770871,0.9558823529411765
hl_revised_50percgap,1,0.5191111111111111,0.954248366013072
hl_revised_50percgap,1,0.5195729537366548,0.954248366013072
hl_revised_50percgap,1,0.5191451469278717,0.9526143790849673
hl_revised_50percgap,1,0.5196078431372549,0.9526143790849673
hl_revised_50percgap,1,0.52007136485281,0.9526143790849673
hl_revised_50percgap,1,0.5205357142857143,0.9526143790849673
hl_revised_50percgap,1,0.5201072386058981,0.9509803921568627
hl_revised_50percgap,1,0.5196779964221825,0.9493464052287581
hl_revised_50percgap,1,0.5192479856759177,0.9477124183006536
hl_revised_50percgap,1,0.5197132616487455,0.9477124183006536
hl_revised_50percgap,1,0.5201793721973094,0.9477124183006536
hl_revised_50percgap,1,0.5206463195691203,0.9477124183006536
hl_revised_50percgap,1,0.5211141060197664,0.9477124183006536
hl_revised_50percgap,1,0.5215827338129496,0.9477124183006536
hl_revised_50percgap,1,0.5220522052205221,0.9477124183006536
hl_revised_50percgap,1,0.5225225225225225,0.9477124183006536
hl_revised_50percgap,1,0.5220919747520288,0.946078431372549
hl_revised_50percgap,1,0.5225631768953068,0.946078431372549
hl_revised_50percgap,1,0.5221318879855466,0.9444444444444444
hl_revised_50percgap,1,0.5226039783001808,0.9444444444444444
hl_revised_50percgap,1,0.5230769230769231,0.9444444444444444
hl_revised_50percgap,1,0.5235507246376812,0.9444444444444444
hl_revised_50percgap,1,0.5240253853127833,0.9444444444444444
hl_revised_50percgap,1,0.5245009074410163,0.9444444444444444
hl_revised_50percgap,1,0.5249772933696639,0.9444444444444444
hl_revised_50percgap,1,0.5254545454545455,0.9444444444444444
hl_revised_50percgap,1,0.5259326660600546,0.9444444444444444
hl_revised_50percgap,1,0.5264116575591985,0.9444444444444444
hl_revised_50percgap,1,0.5268915223336372,0.9444444444444444
hl_revised_50percgap,1,0.5264598540145985,0.9428104575163399
hl_revised_50percgap,1,0.5269406392694064,0.9428104575163399
hl_revised_50percgap,1,0.526508226691042,0.9411764705882353
hl_revised_50percgap,1,0.526075022872827,0.9395424836601307
hl_revised_50percgap,1,0.5265567765567766,0.9395424836601307
hl_revised_50percgap,1,0.5270394133822182,0.9395424836601307
hl_revised_50percgap,1,0.5266055045871559,0.9379084967320261
hl_revised_50percgap,1,0.527089072543618,0.9379084967320261
hl_revised_50percgap,1,0.5275735294117647,0.9379084967320261
hl_revised_50percgap,1,0.5271389144434223,0.9362745098039216
hl_revised_50percgap,1,0.5276243093922652,0.9362745098039216
hl_revised_50percgap,1,0.528110599078341,0.9362745098039216
hl_revised_50percgap,1,0.5285977859778598,0.9362745098039216
hl_revised_50percgap,1,0.5290858725761773,0.9362745098039216
hl_revised_50percgap,1,0.5295748613678374,0.9362745098039216
hl_revised_50percgap,1,0.5300647548566142,0.9362745098039216
hl_revised_50percgap,1,0.5305555555555556,0.9362745098039216
hl_revised_50percgap,1,0.531047265987025,0.9362745098039216
hl_revised_50percgap,1,0.5315398886827458,0.9362745098039216
hl_revised_50percgap,1,0.532033426183844,0.9362745098039216
hl_revised_50percgap,1,0.5325278810408922,0.9362745098039216
hl_revised_50percgap,1,0.5330232558139535,0.9362745098039216
hl_revised_50percgap,1,0.5335195530726257,0.9362745098039216
hl_revised_50percgap,1,0.5340167753960857,0.9362745098039216
hl_revised_50percgap,1,0.5345149253731343,0.9362745098039216
hl_revised_50percgap,1,0.5350140056022409,0.9362745098039216
hl_revised_50percgap,1,0.5345794392523364,0.934640522875817
hl_revised_50percgap,1,0.5350795135640786,0.934640522875817
hl_revised_50percgap,1,0.5355805243445693,0.934640522875817
hl_revised_50percgap,1,0.5360824742268041,0.934640522875817
hl_revised_50percgap,1,0.5365853658536586,0.934640522875817
hl_revised_50percgap,1,0.5370892018779343,0.934640522875817
hl_revised_50percgap,1,0.5375939849624061,0.934640522875817
hl_revised_50percgap,1,0.5371589840075258,0.9330065359477124
hl_revised_50percgap,1,0.5376647834274952,0.9330065359477124
hl_revised_50percgap,1,0.5381715362865221,0.9330065359477124
hl_revised_50percgap,1,0.5377358490566038,0.9313725490196079
hl_revised_50percgap,1,0.5372993389990557,0.9297385620915033
hl_revised_50percgap,1,0.5378071833648393,0.9297385620915033
hl_revised_50percgap,1,0.5373699148533586,0.9281045751633987
hl_revised_50percgap,1,0.5369318181818182,0.9264705882352942
hl_revised_50percgap,1,0.5374407582938389,0.9264705882352942
hl_revised_50percgap,1,0.5379506641366224,0.9264705882352942
hl_revised_50percgap,1,0.5375118708452041,0.9248366013071896
hl_revised_50percgap,1,0.5380228136882129,0.9248366013071896
hl_revised_50percgap,1,0.538534728829686,0.9248366013071896
hl_revised_50percgap,1,0.5380952380952381,0.923202614379085
hl_revised_50percgap,1,0.5376549094375596,0.9215686274509803
hl_revised_50percgap,1,0.5372137404580153,0.9199346405228758
hl_revised_50percgap,1,0.5377268385864374,0.9199346405228758
hl_revised_50percgap,1,0.5382409177820268,0.9199346405228758
hl_revised_50percgap,1,0.538755980861244,0.9199346405228758
hl_revised_50percgap,1,0.539272030651341,0.9199346405228758
hl_revised_50percgap,1,0.538830297219559,0.9183006535947712
hl_revised_50percgap,1,0.5393474088291746,0.9183006535947712
hl_revised_50percgap,1,0.5389048991354467,0.9166666666666666
hl_revised_50percgap,1,0.5384615384615384,0.9150326797385621
hl_revised_50percgap,1,0.5389797882579404,0.9150326797385621
hl_revised_50percgap,1,0.5394990366088632,0.9150326797385621
hl_revised_50percgap,1,0.5390549662487946,0.9133986928104575
hl_revised_50percgap,1,0.5386100386100386,0.9117647058823529
hl_revised_50percgap,1,0.5381642512077295,0.9101307189542484
hl_revised_50percgap,1,0.5386847195357833,0.9101307189542484
