model,fold,tpr,fpr
hl_revised_50percgap,1,0.0,0.0
hl_revised_50percgap,1,0.0,0.0016556291390728477
hl_revised_50percgap,1,0.00980392156862745,0.0016556291390728477
hl_revised_50percgap,1,0.00980392156862745,0.0033112582781456954
hl_revised_50percgap,1,0.021241830065359478,0.0033112582781456954
hl_revised_50percgap,1,0.021241830065359478,0.004966887417218543
hl_revised_50percgap,1,0.04084967320261438,0.004966887417218543
hl_revised_50percgap,1,0.04084967320261438,0.006622516556291391
hl_revised_50percgap,1,0.05392156862745098,0.006622516556291391
hl_revised_50percgap,1,0.05392156862745098,0.008278145695364239
hl_revised_50percgap,1,0.06862745098039216,0.008278145695364239
hl_revised_50percgap,1,0.06862745098039216,0.009933774834437087
hl_revised_50percgap,1,0.08496732026143791,0.009933774834437087
hl_revised_50percgap,1,0.08496732026143791,0.011589403973509934
hl_revised_50percgap,1,0.08986928104575163,0.011589403973509934
hl_revised_50percgap,1,0.08986928104575163,0.013245033112582781
hl_revised_50percgap,1,0.0915032679738562,0.013245033112582781
hl_revised_50percgap,1,0.0915032679738562,0.014900662251655629
hl_revised_50percgap,1,0.10457516339869281,0.014900662251655629
hl_revised_50percgap,1,0.10457516339869281,0.016556291390728478
hl_revised_50percgap,1,0.10947712418300654,0.016556291390728478
hl_revised_50percgap,1,0.10947712418300654,0.019867549668874173
hl_revised_50percgap,1,0.119281045751634,0.019867549668874173
hl_revised_50percgap,1,0.119281045751634,0.02152317880794702
hl_revised_50percgap,1,0.13562091503267973,0.02152317880794702
hl_revised_50percgap,1,0.13562091503267973,0.024834437086092714
hl_revised_50percgap,1,0.14052287581699346,0.024834437086092714
hl_revised_50percgap,1,0.14052287581699346,0.026490066225165563
hl_revised_50percgap,1,0.1503267973856209,0.026490066225165563
hl_revised_50percgap,1,0.1503267973856209,0.028145695364238412
hl_revised_50percgap,1,0.17483660130718953,0.028145695364238412
hl_revised_50percgap,1,0.17483660130718953,0.029801324503311258
hl_revised_50percgap,1,0.184640522875817,0.029801324503311258
hl_revised_50percgap,1,0.184640522875817,0.03145695364238411
hl_revised_50percgap,1,0.18790849673202614,0.03145695364238411
hl_revised_50percgap,1,0.18790849673202614,0.033112582781456956
hl_revised_50percgap,1,0.1895424836601307,0.033112582781456956
hl_revised_50percgap,1,0.1895424836601307,0.0380794701986755
hl_revised_50percgap,1,0.19934640522875818,0.0380794701986755
hl_revised_50percgap,1,0.19934640522875818,0.039735099337748346
hl_revised_50percgap,1,0.20098039215686275,0.039735099337748346
hl_revised_50percgap,1,0.20098039215686275,0.041390728476821195
hl_revised_50percgap,1,0.20588235294117646,0.041390728476821195
hl_revised_50percgap,1,0.20588235294117646,0.04470198675496689
hl_revised_50percgap,1,0.20751633986928106,0.04470198675496689
hl_revised_50percgap,1,0.20751633986928106,0.046357615894039736
hl_revised_50percgap,1,0.21241830065359477,0.046357615894039736
hl_revised_50percgap,1,0.21241830065359477,0.048013245033112585
hl_revised_50percgap,1,0.2173202614379085,0.048013245033112585
hl_revised_50percgap,1,0.2173202614379085,0.04966887417218543
hl_revised_50percgap,1,0.22712418300653595,0.04966887417218543
hl_revised_50percgap,1,0.22712418300653595,0.05132450331125828
hl_revised_50percgap,1,0.22875816993464052,0.05132450331125828
hl_revised_50percgap,1,0.22875816993464052,0.054635761589403975
hl_revised_50percgap,1,0.23039215686274508,0.054635761589403975
hl_revised_50percgap,1,0.23039215686274508,0.057947019867549666
hl_revised_50percgap,1,0.23366013071895425,0.057947019867549666
hl_revised_50percgap,1,0.23366013071895425,0.059602649006622516
hl_revised_50percgap,1,0.2434640522875817,0.059602649006622516
hl_revised_50percgap,1,0.2434640522875817,0.061258278145695365
hl_revised_50percgap,1,0.24836601307189543,0.061258278145695365
hl_revised_50percgap,1,0.24836601307189543,0.06456953642384106
hl_revised_50percgap,1,0.2630718954248366,0.06456953642384106
hl_revised_50percgap,1,0.2630718954248366,0.06622516556291391
hl_revised_50percgap,1,0.2647058823529412,0.06622516556291391
hl_revised_50percgap,1,0.2647058823529412,0.06788079470198675
hl_revised_50percgap,1,0.26633986928104575,0.06788079470198675
hl_revised_50percgap,1,0.26633986928104575,0.0695364238410596
hl_revised_50percgap,1,0.27941176470588236,0.0695364238410596
hl_revised_50percgap,1,0.27941176470588236,0.07119205298013245
hl_revised_50percgap,1,0.2826797385620915,0.07119205298013245
hl_revised_50percgap,1,0.2826797385620915,0.0728476821192053
hl_revised_50percgap,1,0.2875816993464052,0.0728476821192053
hl_revised_50percgap,1,0.2875816993464052,0.07450331125827815
hl_revised_50percgap,1,0.28921568627450983,0.07450331125827815
hl_revised_50percgap,1,0.28921568627450983,0.076158940397351
hl_revised_50percgap,1,0.29901960784313725,0.076158940397351
hl_revised_50percgap,1,0.29901960784313725,0.07781456953642384
hl_revised_50percgap,1,0.30392156862745096,0.07781456953642384
hl_revised_50percgap,1,0.30392156862745096,0.07947019867549669
hl_revised_50percgap,1,0.3088235294117647,0.07947019867549669
hl_revised_50percgap,1,0.3088235294117647,0.08278145695364239
hl_revised_50percgap,1,0.3137254901960784,0.08278145695364239
hl_revised_50percgap,1,0.3137254901960784,0.08443708609271523
hl_revised_50percgap,1,0.31862745098039214,0.08443708609271523
hl_revised_50percgap,1,0.31862745098039214,0.08609271523178808
hl_revised_50percgap,1,0.32189542483660133,0.08609271523178808
hl_revised_50percgap,1,0.32189542483660133,0.08774834437086093
hl_revised_50percgap,1,0.3382352941176471,0.08774834437086093
hl_revised_50percgap,1,0.3382352941176471,0.09105960264900662
hl_revised_50percgap,1,0.3415032679738562,0.09105960264900662
hl_revised_50percgap,1,0.3415032679738562,0.09271523178807947
hl_revised_50percgap,1,0.3464052287581699,0.09271523178807947
hl_revised_50percgap,1,0.3464052287581699,0.09602649006622517
hl_revised_50percgap,1,0.35130718954248363,0.09602649006622517
hl_revised_50percgap,1,0.35130718954248363,0.09768211920529801
hl_revised_50percgap,1,0.35294117647058826,0.09768211920529801
hl_revised_50percgap,1,0.35294117647058826,0.10099337748344371
hl_revised_50percgap,1,0.3611111111111111,0.10099337748344371
hl_revised_50percgap,1,0.3611111111111111,0.10264900662251655
hl_revised_50percgap,1,0.3709150326797386,0.10264900662251655
