motif,term,group_term,group_ref,n_term,n_ref,n_total,rate_ratio,ci_low,ci_high,pvalue,family,inverse_lgrr,inverse_lgci_high,inverse_lgci_low
G4_3t_short,C(group)[T.Spliced],Spliced,Retained,11131,9111,20242,0.3457364594512598,0.30982120736279556,0.385815097718345,2.5475555561229844e-80,poisson,1.5322553446397174,1.6904921944333258,1.3740184948461092
G4_3t_long,C(group)[T.Spliced],Spliced,Retained,11131,9111,20242,0.32150189003715707,0.25584588922393725,0.40400674644802315,2.1084903871608316e-22,poisson,1.6371008760301937,1.9666530416992059,1.307548710361182
G4_2t_short,C(group)[T.Spliced],Spliced,Retained,11131,9111,20242,0.4533000206442522,0.4300845841371302,0.4777685978406586,3.145165504922142e-191,poisson,1.1414618679600457,1.2173076743406719,1.0656160615794197
G4_2t_long,C(group)[T.Spliced],Spliced,Retained,11131,9111,20242,0.37490042967902926,0.3482177607489632,0.403627695127378,1.5630241289490116e-149,poisson,1.4154206157658948,1.5219383057668583,1.3089029257649316
