model,fold,tpr,fpr
IR,5,0.0,0.0
IR,5,0.0007012622720897616,0.0
IR,5,0.014025245441795231,0.0
IR,5,0.014025245441795231,0.0004633920296570899
IR,5,0.04488078541374474,0.0004633920296570899
IR,5,0.04488078541374474,0.0009267840593141798
IR,5,0.06030855539971949,0.0009267840593141798
IR,5,0.06030855539971949,0.0013901760889712697
IR,5,0.10518934081346423,0.0013901760889712697
IR,5,0.10518934081346423,0.0018535681186283596
IR,5,0.1093969144460028,0.0018535681186283596
IR,5,0.1093969144460028,0.0023169601482854493
IR,5,0.13814866760168304,0.0023169601482854493
IR,5,0.13814866760168304,0.0027803521779425394
IR,5,0.14726507713884993,0.0027803521779425394
IR,5,0.14726507713884993,0.003243744207599629
IR,5,0.15077138849929875,0.003243744207599629
IR,5,0.15077138849929875,0.0037071362372567192
IR,5,0.15427769985974754,0.0037071362372567192
IR,5,0.15427769985974754,0.004170528266913809
IR,5,0.16900420757363255,0.004170528266913809
IR,5,0.16900420757363255,0.004633920296570899
IR,5,0.17040673211781207,0.004633920296570899
IR,5,0.17040673211781207,0.005097312326227989
IR,5,0.17251051893408134,0.005097312326227989
IR,5,0.17251051893408134,0.005560704355885079
IR,5,0.17461430575035064,0.005560704355885079
IR,5,0.17461430575035064,0.006024096385542169
IR,5,0.18302945301542778,0.006024096385542169
IR,5,0.18302945301542778,0.006487488415199258
IR,5,0.197054698457223,0.006487488415199258
IR,5,0.197054698457223,0.006950880444856348
IR,5,0.2138849929873773,0.006950880444856348
IR,5,0.2138849929873773,0.0074142724745134385
IR,5,0.21458625525946703,0.0074142724745134385
IR,5,0.21458625525946703,0.007877664504170528
IR,5,0.2152875175315568,0.007877664504170528
IR,5,0.2152875175315568,0.008341056533827619
IR,5,0.22720897615708274,0.008341056533827619
IR,5,0.22720897615708274,0.009267840593141797
IR,5,0.24333800841514727,0.009267840593141797
IR,5,0.24333800841514727,0.009731232622798888
IR,5,0.2496493688639551,0.009731232622798888
IR,5,0.2496493688639551,0.010194624652455977
IR,5,0.25315568022440393,0.010194624652455977
IR,5,0.25315568022440393,0.010658016682113068
IR,5,0.2594670406732118,0.010658016682113068
IR,5,0.2594670406732118,0.011121408711770158
IR,5,0.26297335203366057,0.011121408711770158
IR,5,0.26297335203366057,0.011584800741427247
IR,5,0.2657784011220196,0.011584800741427247
IR,5,0.2657784011220196,0.012048192771084338
IR,5,0.2664796633941094,0.012048192771084338
IR,5,0.2664796633941094,0.012511584800741427
IR,5,0.27349228611500703,0.012511584800741427
IR,5,0.27349228611500703,0.012974976830398516
IR,5,0.27840112201963535,0.012974976830398516
IR,5,0.27840112201963535,0.013901760889712697
IR,5,0.2812061711079944,0.013901760889712697
IR,5,0.2812061711079944,0.014365152919369786
IR,5,0.29312762973352036,0.014365152919369786
IR,5,0.29312762973352036,0.014828544949026877
IR,5,0.29453015427769985,0.014828544949026877
IR,5,0.29453015427769985,0.015291936978683966
IR,5,0.29873772791023845,0.015291936978683966
IR,5,0.29873772791023845,0.015755329008341055
IR,5,0.3267882187938289,0.015755329008341055
IR,5,0.3267882187938289,0.016218721037998145
IR,5,0.3316970546984572,0.016218721037998145
IR,5,0.3316970546984572,0.016682113067655237
IR,5,0.3345021037868163,0.016682113067655237
IR,5,0.3345021037868163,0.017145505097312327
IR,5,0.3387096774193548,0.017145505097312327
IR,5,0.3387096774193548,0.017608897126969416
IR,5,0.3394109396914446,0.017608897126969416
IR,5,0.3394109396914446,0.018535681186283594
IR,5,0.3436185133239832,0.018535681186283594
IR,5,0.3436185133239832,0.018999073215940687
IR,5,0.3450210378681627,0.018999073215940687
IR,5,0.3450210378681627,0.019462465245597776
IR,5,0.34572230014025246,0.019462465245597776
IR,5,0.34572230014025246,0.019925857275254866
IR,5,0.34642356241234223,0.019925857275254866
IR,5,0.34642356241234223,0.021779425393883226
IR,5,0.35133239831697055,0.021779425393883226
IR,5,0.35133239831697055,0.022242817423540315
IR,5,0.3520336605890603,0.022242817423540315
IR,5,0.3520336605890603,0.022706209453197405
IR,5,0.3548387096774194,0.022706209453197405
IR,5,0.3548387096774194,0.023169601482854494
IR,5,0.35694249649368864,0.023169601482854494
IR,5,0.35694249649368864,0.024096385542168676
IR,5,0.35834502103786814,0.024096385542168676
IR,5,0.35834502103786814,0.025023169601482854
IR,5,0.3590462833099579,0.025023169601482854
IR,5,0.3590462833099579,0.025486561631139944
IR,5,0.36395511921458623,0.025486561631139944
IR,5,0.36395511921458623,0.025949953660797033
IR,5,0.3709677419354839,0.025949953660797033
IR,5,0.3709677419354839,0.026876737720111215
IR,5,0.37166900420757365,0.026876737720111215
IR,5,0.37166900420757365,0.027340129749768304
IR,5,0.379382889200561,0.027340129749768304
IR,5,0.379382889200561,0.027803521779425393
IR,5,0.3800841514726508,0.027803521779425393
IR,5,0.3800841514726508,0.028730305838739572
IR,5,0.3870967741935484,0.028730305838739572
IR,5,0.3870967741935484,0.030120481927710843
IR,5,0.38779803646563815,0.030120481927710843
IR,5,0.38779803646563815,0.030583873957367932
IR,5,0.391304347826087,0.030583873957367932
IR,5,0.391304347826087,0.03104726598702502
IR,5,0.394109396914446,0.03104726598702502
IR,5,0.394109396914446,0.03151065801668211
IR,5,0.39481065918653574,0.03151065801668211
IR,5,0.39481065918653574,0.03243744207599629
IR,5,0.3962131837307153,0.03243744207599629
IR,5,0.3962131837307153,0.032900834105653386
IR,5,0.3997194950911641,0.032900834105653386
IR,5,0.3997194950911641,0.033364226135310475
IR,5,0.40042075736325383,0.033364226135310475
IR,5,0.40042075736325383,0.033827618164967564
IR,5,0.4032258064516129,0.033827618164967564
IR,5,0.4032258064516129,0.03429101019462465
IR,5,0.40392706872370265,0.03429101019462465
IR,5,0.40392706872370265,0.03475440222428174
IR,5,0.41514726507713884,0.03475440222428174
IR,5,0.41514726507713884,0.03614457831325301
IR,5,0.4172510518934081,0.03614457831325301
IR,5,0.4172510518934081,0.0366079703429101
IR,5,0.41865357643758766,0.0366079703429101
IR,5,0.41865357643758766,0.03707136237256719
IR,5,0.41935483870967744,0.03707136237256719
IR,5,0.41935483870967744,0.037534754402224285
IR,5,0.42005610098176716,0.037534754402224285
IR,5,0.42005610098176716,0.037998146431881374
IR,5,0.42075736325385693,0.037998146431881374
IR,5,0.42075736325385693,0.038461538461538464
IR,5,0.426367461430575,0.038461538461538464
IR,5,0.426367461430575,0.03892493049119555
IR,5,0.4284712482468443,0.03892493049119555
IR,5,0.4284712482468443,0.03938832252085264
IR,5,0.42987377279102384,0.03938832252085264
