comparison,group_X,group_Y,n_X,n_Y,n_total,value,group,test,statistic,p_value,p_adj
Speckle vs non-speckle,non-speckle,speckle,5000,5000,10000,RBP peaks / length,Retained,Welch's t-test,-7.926846633312644,2.4922912740812834e-15,4.984582548162567e-15
Speckle vs non-speckle,non-speckle,speckle,5000,5000,10000,RBP peaks / length,Spliced,Welch's t-test,-4.171848432889954,3.0472724705760648e-05,3.0472724705760648e-05
