bin,coverage,motif,group,region
111,0.011386386386386387,G4_3t_short,Retained,core
112,0.012012012012012012,G4_3t_short,Retained,core
113,0.010760760760760761,G4_3t_short,Retained,core
114,0.01126126126126126,G4_3t_short,Retained,core
115,0.008758758758758759,G4_3t_short,Retained,core
116,0.00950950950950951,G4_3t_short,Retained,core
117,0.008758758758758759,G4_3t_short,Retained,core
118,0.006631631631631631,G4_3t_short,Retained,core
119,0.002877877877877878,G4_3t_short,Retained,core
120,0.00012512512512512512,G4_3t_short,Retained,right
121,0.00037537537537537537,G4_3t_short,Retained,right
122,0.0005005005005005005,G4_3t_short,Retained,right
123,0.0006256256256256256,G4_3t_short,Retained,right
124,0.0006256256256256256,G4_3t_short,Retained,right
125,0.0006256256256256256,G4_3t_short,Retained,right
126,0.0008758758758758759,G4_3t_short,Retained,right
127,0.0008758758758758759,G4_3t_short,Retained,right
128,0.001001001001001001,G4_3t_short,Retained,right
129,0.001001001001001001,G4_3t_short,Retained,right
130,0.0011261261261261261,G4_3t_short,Retained,right
131,0.001001001001001001,G4_3t_short,Retained,right
132,0.0008758758758758759,G4_3t_short,Retained,right
133,0.0007507507507507507,G4_3t_short,Retained,right
134,0.0007507507507507507,G4_3t_short,Retained,right
135,0.0007507507507507507,G4_3t_short,Retained,right
136,0.0007507507507507507,G4_3t_short,Retained,right
137,0.0006256256256256256,G4_3t_short,Retained,right
138,0.0005005005005005005,G4_3t_short,Retained,right
139,0.00025025025025025025,G4_3t_short,Retained,right
0,0.0,G4_3t_long,Retained,left
1,0.00025025025025025025,G4_3t_long,Retained,left
2,0.00037537537537537537,G4_3t_long,Retained,left
3,0.0006256256256256256,G4_3t_long,Retained,left
4,0.0008758758758758759,G4_3t_long,Retained,left
5,0.0008758758758758759,G4_3t_long,Retained,left
6,0.001001001001001001,G4_3t_long,Retained,left
7,0.001001001001001001,G4_3t_long,Retained,left
8,0.0011261261261261261,G4_3t_long,Retained,left
9,0.0011261261261261261,G4_3t_long,Retained,left
10,0.0012512512512512512,G4_3t_long,Retained,left
11,0.0013763763763763764,G4_3t_long,Retained,left
12,0.0013763763763763764,G4_3t_long,Retained,left
13,0.0017517517517517517,G4_3t_long,Retained,left
14,0.0025025025025025025,G4_3t_long,Retained,left
15,0.002877877877877878,G4_3t_long,Retained,left
16,0.0037537537537537537,G4_3t_long,Retained,left
17,0.004129129129129129,G4_3t_long,Retained,left
18,0.00563063063063063,G4_3t_long,Retained,left
19,0.006631631631631631,G4_3t_long,Retained,left
20,0.012137137137137138,G4_3t_long,Retained,core
21,0.01639139139139139,G4_3t_long,Retained,core
22,0.018518518518518517,G4_3t_long,Retained,core
23,0.020145145145145146,G4_3t_long,Retained,core
24,0.01926926926926927,G4_3t_long,Retained,core
25,0.019144144144144143,G4_3t_long,Retained,core
26,0.017767767767767766,G4_3t_long,Retained,core
27,0.018893893893893895,G4_3t_long,Retained,core
28,0.019394394394394394,G4_3t_long,Retained,core
29,0.01951951951951952,G4_3t_long,Retained,core
30,0.01839339339339339,G4_3t_long,Retained,core
31,0.02027027027027027,G4_3t_long,Retained,core
32,0.020145145145145146,G4_3t_long,Retained,core
33,0.019894894894894894,G4_3t_long,Retained,core
34,0.019894894894894894,G4_3t_long,Retained,core
35,0.020645645645645645,G4_3t_long,Retained,core
36,0.01976976976976977,G4_3t_long,Retained,core
37,0.018643643643643643,G4_3t_long,Retained,core
38,0.018518518518518517,G4_3t_long,Retained,core
39,0.017892892892892892,G4_3t_long,Retained,core
40,0.017642642642642644,G4_3t_long,Retained,core
41,0.01826826826826827,G4_3t_long,Retained,core
42,0.018643643643643643,G4_3t_long,Retained,core
