model,fold,precision,recall
IR,5,0.3978794642857143,1.0
IR,5,0.3979905107451856,1.0
IR,5,0.3981016192071469,1.0
IR,5,0.3982127897235409,1.0
IR,5,0.3983240223463687,1.0
IR,5,0.3984353171276893,1.0
IR,5,0.3985466741196199,1.0
IR,5,0.39865809337433605,1.0
IR,5,0.3987695749440716,1.0
IR,5,0.3988811188811189,1.0
IR,5,0.39899272523782875,1.0
IR,5,0.3991043940666107,1.0
IR,5,0.3992161254199328,1.0
IR,5,0.399327919350322,1.0
IR,5,0.39943977591036417,1.0
IR,5,0.39955169515270383,1.0
IR,5,0.39966367713004486,1.0
IR,5,0.39977572189515,1.0
IR,5,0.3998878295008413,1.0
IR,5,0.4,1.0
IR,5,0.4001122334455668,1.0
IR,5,0.4002245298905417,1.0
IR,5,0.4003368893879843,1.0
IR,5,0.40044931199101375,1.0
IR,5,0.400561797752809,1.0
IR,5,0.4006743467266086,1.0
IR,5,0.4007869589657111,1.0
IR,5,0.4008996345234748,1.0
IR,5,0.40101237345331836,1.0
IR,5,0.4011251758087201,1.0
IR,5,0.4012380416432189,1.0
IR,5,0.4013509710104137,1.0
IR,5,0.40146396396396394,1.0
IR,5,0.4015770205575894,1.0
IR,5,0.40169014084507043,1.0
IR,5,0.40180332488024795,1.0
IR,5,0.4019165727170237,1.0
IR,5,0.40202988440936005,1.0
IR,5,0.4021432600112803,1.0
IR,5,0.4022566995768688,1.0
IR,5,0.4023702031602709,1.0
IR,5,0.4024837708156929,1.0
IR,5,0.4025974025974026,1.0
IR,5,0.40271109855972886,1.0
IR,5,0.40282485875706214,1.0
IR,5,0.4029386832438542,1.0
IR,5,0.4030525720746184,1.0
IR,5,0.4031665253039299,1.0
IR,5,0.40328054298642535,1.0
IR,5,0.4033946251768034,1.0
IR,5,0.40350877192982454,1.0
IR,5,0.4036229833003114,1.0
IR,5,0.40373725934314836,1.0
IR,5,0.40385160011328236,1.0
IR,5,0.4039660056657224,1.0
IR,5,0.4040804760555398,1.0
IR,5,0.4041950113378685,1.0
IR,5,0.40430961156790474,1.0
IR,5,0.4041406693136699,0.9992987377279102
IR,5,0.40425531914893614,0.9992987377279102
IR,5,0.4043700340522134,0.9992987377279102
IR,5,0.40448481407891,0.9992987377279102
IR,5,0.4045996592844974,0.9992987377279102
IR,5,0.4047145697245101,0.9992987377279102
IR,5,0.40482954545454547,0.9992987377279102
IR,5,0.40494458653026427,0.9992987377279102
IR,5,0.4050596930073906,0.9992987377279102
IR,5,0.4051748649417117,0.9992987377279102
IR,5,0.4052901023890785,0.9992987377279102
IR,5,0.40540540540540543,0.9992987377279102
IR,5,0.4055207740466705,0.9992987377279102
IR,5,0.40563620836891545,0.9992987377279102
IR,5,0.40575170842824604,0.9992987377279102
IR,5,0.4058672742808317,0.9992987377279102
IR,5,0.405982905982906,0.9992987377279102
IR,5,0.4060986035907666,0.9992987377279102
IR,5,0.40621436716077536,0.9992987377279102
IR,5,0.40633019674935844,0.9992987377279102
IR,5,0.4064460924130063,0.9992987377279102
IR,5,0.4065620542082739,0.9992987377279102
IR,5,0.4066780821917808,0.9992987377279102
IR,5,0.40679417642021126,0.9992987377279102
IR,5,0.4069103369503141,0.9992987377279102
IR,5,0.4070265638389032,0.9992987377279102
IR,5,0.40714285714285714,0.9992987377279102
IR,5,0.40725921691911976,0.9992987377279102
IR,5,0.4073756432246998,0.9992987377279102
IR,5,0.40749213611667146,0.9992987377279102
IR,5,0.4076086956521739,0.9992987377279102
IR,5,0.40772532188841204,0.9992987377279102
IR,5,0.407842014882656,0.9992987377279102
IR,5,0.4079587746922416,0.9992987377279102
IR,5,0.40807560137457044,0.9992987377279102
IR,5,0.4081924949871097,0.9992987377279102
IR,5,0.40830945558739257,0.9992987377279102
IR,5,0.40842648323301806,0.9992987377279102
IR,5,0.40854357798165136,0.9992987377279102
IR,5,0.4086607398910238,0.9992987377279102
IR,5,0.4087779690189329,0.9992987377279102
IR,5,0.40889526542324245,0.9992987377279102
IR,5,0.4090126291618829,0.9992987377279102
IR,5,0.409130060292851,0.9992987377279102
IR,5,0.4092475588742102,0.9992987377279102
IR,5,0.4093651249640908,0.9992987377279102
IR,5,0.40948275862068967,0.9992987377279102
IR,5,0.4096004599022708,0.9992987377279102
IR,5,0.409718228867165,0.9992987377279102
IR,5,0.4098360655737705,0.9992987377279102
IR,5,0.40995397008055234,0.9992987377279102
IR,5,0.41007194244604317,0.9992987377279102
IR,5,0.41018998272884283,0.9992987377279102
IR,5,0.4103080909876188,0.9992987377279102
IR,5,0.410426267281106,0.9992987377279102
