class_hls,delta
LL-RIs,418.7334429491284
LL-RIs,413.63858562514
LL-RIs,394.8055813605043
LL-RIs,387.0641148766759
LL-RIs,380.6229265921636
LL-RIs,396.6407050113419
LL-RIs,396.50015691506536
LL-RIs,387.09555638525006
LL-RIs,410.12500859678227
LL-RIs,348.81179522546023
LL-RIs,416.1308228820887
LL-RIs,381.8765847505193
LL-RIs,423.65679426913425
LL-RIs,412.04288904047036
LL-RIs,360.02022084215724
LL-RIs,427.63038328320533
LL-RIs,370.1422329070292
LL-RIs,436.2612700744077
LL-RIs,388.7011975493009
LL-RIs,418.75933387221033
LL-RIs,398.0707834895035
LL-RIs,396.3973734460253
LL-RIs,384.44924861766737
LL-RIs,405.6154663273891
LL-RIs,421.10513513539905
LL-RIs,394.35129566909734
LL-RIs,383.1925919138553
LL-RIs,400.25974534582906
LL-RIs,389.93340562469257
LL-RIs,371.8034118916106
LL-RIs,443.41901167061206
LL-RIs,373.7191712171276
LL-RIs,403.8457515904231
LL-RIs,387.1722275658431
LL-RIs,441.65175128713275
LL-RIs,381.6217711699983
LL-RIs,399.3264977208625
LL-RIs,399.7911061159223
LL-RIs,375.2120099792178
LL-RIs,389.9889348260751
LL-RIs,393.5303036881995
LL-RIs,387.23031263670873
LL-RIs,373.44063919264505
LL-RIs,414.434172528241
LL-RIs,406.8812084942924
LL-RIs,404.26239068370086
LL-RIs,401.97026183994933
LL-RIs,404.8900928937994
LL-RIs,385.4192465465285
LL-RIs,383.27708128147873
LL-RIs,386.32671087196223
LL-RIs,411.6011793549779
LL-RIs,421.3839010240692
LL-RIs,415.83655899122175
LL-RIs,418.2722596116901
LL-RIs,413.3466895956551
LL-RIs,420.04661471024986
LL-RIs,419.9232788711219
LL-RIs,401.4590975668871
LL-RIs,378.6604238019149
LL-RIs,367.873913760426
LL-RIs,410.9801609861886
LL-RIs,403.55121866344047
LL-RIs,400.0084554558887
LL-RIs,423.9576923248216
LL-RIs,420.19163482095735
LL-RIs,374.2836080975963
LL-RIs,434.56861649423615
LL-RIs,402.9318237485482
LL-RIs,388.46535598699694
LL-RIs,430.4782795754566
LL-RIs,443.9020904298896
LL-RIs,407.9157235076406
LL-RIs,380.3577393756572
LL-RIs,370.2705563847211
LL-RIs,354.97727388657995
LL-RIs,399.44389964908834
LL-RIs,381.04497579028407
LL-RIs,415.8778957165509
LL-RIs,440.0942578768493
LL-RIs,390.6116311484594
LL-RIs,391.63983075281516
LL-RIs,385.68586920186533
LL-RIs,401.6922777422242
LL-RIs,391.72616403434665
LL-RIs,397.32408057484
LL-RIs,373.3232178214727
LL-RIs,410.31366593759844
LL-RIs,386.6328825960845
LL-RIs,415.26684435033087
