comparison,group_X,group_Y,n_X,n_Y,n_total,value,group,test,stat,p_value,p_adj
LL-RIs vs SL-RIs,LL-RIs,SL-RIs,2140,2322,4462,Nuclear speckle Enrichment [lg2FC],-,Welch's t-test,16.16286095414729,4.3023187911733494e-57,4.3023187911733494e-57
Retained vs Spliced,Retained,Spliced,5867,7618,13485,Nuclear speckle Enrichment [lg2FC],-,Welch's t-test,52.31967185980935,0.0,0.0
