class_ir,delta
Retained,0.3693712951957865
Retained,0.3881458000996634
Retained,0.397712052689104
Retained,0.38060831549544566
Retained,0.43165378609172256
Retained,0.37602341751267665
Retained,0.3951692458231719
Retained,0.4098993174275618
Retained,0.3901430773979419
Retained,0.4216358883642725
Retained,0.39096714093956936
Retained,0.36410363950397556
Retained,0.45337706319458587
Retained,0.3866556999852082
Retained,0.4110637649920145
Retained,0.39124835187990964
Retained,0.38904790447087895
Retained,0.39108698765880295
Retained,0.3882694375526828
Retained,0.39931834569849617
Retained,0.3868920707840057
Retained,0.3845953574275295
Retained,0.4264896974097889
Retained,0.3663839450218681
Retained,0.3930402652012468
Retained,0.39978006027638724
Retained,0.3972963959538962
Retained,0.41259271041119877
Retained,0.3777322580427641
Retained,0.36224673492476284
Retained,0.41503624057362626
Retained,0.41123792438022544
Retained,0.40051344278621925
Retained,0.3967844758164797
Retained,0.3693846365703674
Retained,0.4167801902790562
Retained,0.39693560674411377
Retained,0.3689973031915221
Retained,0.3767813561164594
Retained,0.3757104569161781
Retained,0.4471997963194258
Retained,0.40417084411428533
Retained,0.39637829060293317
Retained,0.44007108484543656
Retained,0.38890692220566464
Retained,0.38123284850449735
Retained,0.4046923451620409
Retained,0.3813312715473826
Retained,0.39868647656618006
Retained,0.43086296887203496
Retained,0.38292291590622657
Retained,0.4010085072241521
Retained,0.412898837512952
Retained,0.35818862412654306
Retained,0.38760392711197794
Retained,0.37461343973163747
Retained,0.363539881649982
Retained,0.39237813103160785
Retained,0.37799826547797405
Retained,0.4106621219719254
Retained,0.38597771604068803
Retained,0.402838154998438
Retained,0.40934647296908444
Retained,0.34689028777483066
Retained,0.37199505077586525
Retained,0.36978142812269293
Retained,0.37553936241429664
Retained,0.37574371474948626
Retained,0.42471409769678203
Retained,0.36126308701911025
Retained,0.37516759646324527
Retained,0.3910084465520117
Retained,0.3860699393948261
Retained,0.4105623768616461
Retained,0.36831755045567677
Retained,0.40793403529724853
Retained,0.37274874696263294
Retained,0.4035161031159192
Retained,0.3859401884181024
Retained,0.38908341088987086
Retained,0.3969935343617825
Retained,0.41601199174932174
Retained,0.39067890164135866
Retained,0.35309699409593903
Retained,0.4204196612157346
Retained,0.41466910041836547
Retained,0.37935843641190337
Retained,0.3915041611061336
Retained,0.35042796861584924
Retained,0.3928220173841831
Retained,0.39595723477034633
Retained,0.3883552898339197
Retained,0.40423286301837286
Retained,0.3865690047522946
Retained,0.43030224269691564
Retained,0.3865212981177396
Retained,0.3971736558572685
Retained,0.41900166312379133
Retained,0.35786513528132746
Retained,0.41201780027836915
Retained,0.4151477359647961
Retained,0.42626330813933977
Retained,0.380951515767698
Retained,0.41869749785237187
Retained,0.4029842720005784
Retained,0.41796273459475375
Retained,0.39695804977614163
Retained,0.3798109542211375
Retained,0.42150505296410584
Retained,0.3861153659193625
Retained,0.37675604566059556
Retained,0.3619504119873355
Retained,0.36937277179313055
Retained,0.3666587294084471
Retained,0.38285010010248827
Retained,0.4075842923404113
Retained,0.4243084811394587
Retained,0.3634653934384205
Retained,0.42575100762411017
Retained,0.40481354778637924
Retained,0.3601749771620224
Retained,0.416426331081044
Retained,0.39517001233555926
Retained,0.4043254435342012
Retained,0.4084710653186202
Retained,0.3864052337447207
Retained,0.37329264745797863
Retained,0.39531054739110905
Retained,0.37833425447581004
Retained,0.4070071233028083
Retained,0.3812795147393359
Retained,0.39838260631693967
Retained,0.39272054841315773
Retained,0.4330750732984099
Retained,0.39869063853110975
Retained,0.4056959102369996
Retained,0.36609456390220574
Retained,0.36713104811017894
Retained,0.38047943377923377
Retained,0.3589356022055335
Retained,0.396267171777599
Retained,0.39980977386432126
Retained,0.3936019718195354
Retained,0.3936995823929162
Retained,0.3900708903717913
Retained,0.3650285738367804
Retained,0.3445176104695961
